Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0u2P5u6lvoDfwTYjAADbn4,"lovely (with Khalid)","lovely (with Khalid)","Billie Eilish,Khalid",2018-04-19,200185,87,jonathan.holgersson,2024-02-15T21:57:53Z,"art pop,pop,pop r&b","Darkroom",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
6UelLqGlWMcVH1E5c4H7lY,"Watermelon Sugar","Fine Line","Harry Styles",2019-12-13,174000,84,jonathan.holgersson,2024-02-15T21:57:53Z,"pop","Columbia",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
0TK2YIli7K1leLovkQiNik,"Señorita","Señorita","Shawn Mendes,Camila Cabello",2019-06-21,190960,76,jonathan.holgersson,2024-02-15T21:57:53Z,"canadian pop,pop,viral pop,dance pop","Island Records",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
6RUKPb4LETWmmr3iAEQktW,"Something Just Like This","Memories...Do Not Open","The Chainsmokers,Coldplay",2017-04-07,247160,88,jonathan.holgersson,2024-02-15T21:57:53Z,"pop,permanent wave","Disruptor Records/Columbia",0.617,0.635,11,-6.769,0,0.0317,0.0498,0.0000144,0.164,0.446,103.019,4
3sxdvhgiCnFvt5Nus1xcK3,"Magic Show","Magic Show","Bruklin",2024-08-02,160384,55,jonathan.holgersson,2024-09-05T20:40:48Z,"","MB Music Group",0.793,0.868,5,-0.838,0,0.0625,0.0653,0,0.0874,0.774,103.966,4
3PfIrDoz19wz7qK7tYeu62,"Don't Start Now","Future Nostalgia","Dua Lipa",2020-03-27,183290,82,jonathan.holgersson,2024-02-15T21:57:53Z,"dance pop,pop,uk pop","Warner Records",0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,4
7yq4Qj7cqayVTp3FF9CWbm,"Riptide","Dream Your Life Away","Vance Joy",2014-09-08,204280,80,jonathan.holgersson,2024-02-15T21:57:53Z,"folk-pop,modern rock","F-Stop Records/Atlantic",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
2EiGECydkS2M8OCcRHQZhT,"Take Me To Church","Hozier (Special Edition)","Hozier",2014-11-06,241688,2,jonathan.holgersson,2024-02-15T21:57:53Z,"irish singer-songwriter,modern rock,pop,pov: indie","Universal Music Group",0.456,0.67,7,-5.212,1,0.0574,0.588,0,0.116,0.405,128.632,4
285pBltuF7vW8TeWk8hdRR,"Lucid Dreams","Goodbye & Good Riddance","Juice WRLD",2018-12-10,239835,82,jonathan.holgersson,2024-02-15T21:57:53Z,"chicago rap,melodic rap,rap","Juice WRLD Mixtape / ISR P&D",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4
3JvKfv6T31zO0ini8iNItO,"Another Love","Long Way Down (Deluxe)","Tom Odell",2013-06-24,244360,88,jonathan.holgersson,2024-02-15T21:57:53Z,"chill pop","ITNO/Columbia",0.445,0.537,4,-8.532,0,0.04,0.695,0.0000165,0.0944,0.131,122.769,4
1HNkqx9Ahdgi1Ixy2xkKkL,"Photograph","x (Deluxe Edition)","Ed Sheeran",2014-06-21,258986,84,jonathan.holgersson,2024-02-15T21:57:53Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4
1Bk4mFK1shZUoHfYJMwqWp,"Wavy","Rewrite","Yerin",2024-09-04,173666,50,jonathan.holgersson,2024-09-05T20:38:49Z,"","Bill Entertainment",0.707,0.907,10,-4.069,1,0.0418,0.244,0,0.112,0.869,125.04,4
5edBgVtRD0fvWk140Sl21T,"Counting Stars","Native","OneRepublic",2013-01-01,257266,2,jonathan.holgersson,2024-02-15T21:57:53Z,"piano rock,pop","Universal Music Group",0.662,0.71,1,-4.945,0,0.0364,0.0603,0,0.119,0.465,121.979,4
6T8cJz5lAqGer9GUHGyelE,"God's Plan","Scary Hours","Drake",2018-01-20,198960,3,jonathan.holgersson,2024-02-15T21:57:53Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","Universal Music Group",0.755,0.448,7,-9.587,1,0.107,0.0283,0.0000328,0.514,0.318,77.179,4
6krwVrqihThMtvID5LlaYj,"Like Em Country","Like Em Country","Cwby",2024-08-23,179984,45,jonathan.holgersson,2024-08-29T05:37:54Z,"","Outsyders Inc, Bungalo, Universal Music Group",0.751,0.855,7,-3.737,0,0.0626,0.106,0,0.206,0.657,93.996,4
21jGcNKet2qwijlDFuPiPb,"Circles","Hollywood's Bleeding","Post Malone",2019-09-06,215280,85,jonathan.holgersson,2024-02-15T21:57:53Z,"dfw rap,melodic rap,pop,rap","Republic Records",0.695,0.763,0,-3.497,1,0.0396,0.189,0.00242,0.0863,0.551,120.042,4
3GDOpvNT6qOPOgDhySSTm9,"Losing it now - Cottage Version","Losing it now - Cottage Version","Melanie Herrera",2024-08-28,198764,40,jonathan.holgersson,2024-09-02T12:36:43Z,"","Alma",0.734,0.399,3,-6.535,1,0.0318,0.686,0,0.115,0.357,125.883,4
2Fxmhks0bxGSBdJ92vM42m,"bad guy","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,194087,81,jonathan.holgersson,2024-02-15T21:57:53Z,"art pop,pop","Darkroom/Interscope Records",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
4u7EnebtmKWzUH433cf5Qv,"Bohemian Rhapsody - Remastered 2011","A Night At The Opera (2011 Remaster)","Queen",1975-11-21,354320,79,jonathan.holgersson,2024-02-15T21:57:53Z,"classic rock,glam rock,rock","EMI",0.411,0.404,0,-9.928,0,0.0511,0.271,0,0.3,0.226,71.068,4
34gCuhDGsG4bRPIf9bb02f,"Thinking out Loud","x (Deluxe Edition)","Ed Sheeran",2014-06-21,281560,81,jonathan.holgersson,2024-02-15T21:57:53Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,4
2VxeLyX666F8uXCJ0dZF8B,"Shallow","A Star Is Born Soundtrack","Lady Gaga,Bradley Cooper",2018-10-05,215733,83,jonathan.holgersson,2024-02-15T21:57:53Z,"art pop,dance pop,pop,hollywood","A Star is Born OST",0.577,0.385,7,-6.362,1,0.03,0.371,0,0.231,0.331,95.82,4
2hkRtYvjZZ1xOhO7XxI7Oa,"Joyride","Joyride","Vlade Kay",2024-09-13,168196,45,jonathan.holgersson,2024-09-18T15:46:21Z,"","Umbra",0.641,0.693,11,-7.417,0,0.0459,0.0125,0.00000747,0.699,0.552,122.018,4
3bidbhpOYeV4knp8AIu8Xn,"Can't Hold Us (feat. Ray Dalton)","The Heist","Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Ray Dalton",2012-10-09,258342,78,jonathan.holgersson,2024-02-15T21:57:53Z,"pop rap,seattle hip hop,pop dance","Macklemore",0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,4
6gBFPUFcJLzWGx4lenP6h2,"goosebumps","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,243836,86,jonathan.holgersson,2024-02-15T21:57:53Z,"rap,slap house","Cactus Jack / Epic",0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4
3hB5DgAiMAQ4DzYbsMq1IT,"Love Yourself","Purpose (Deluxe)","Justin Bieber",2015-11-13,233720,2,jonathan.holgersson,2024-02-15T21:57:53Z,"canadian pop,pop","Universal Music Group",0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.418,4
4JXag5zW81uR4FIq8SlqhD,"Enfin vivre","Enfin vivre","The Swing Pearl",2024-04-23,216000,31,jonathan.holgersson,2024-09-05T20:36:31Z,"","Independent",0.736,0.41,6,-13.423,1,0.0391,0.231,0.00000234,0.123,0.636,117.291,4
0tKcYR2II1VCQWT79i5NrW,"Thunder","Evolve","Imagine Dragons",2017-06-23,187146,0,jonathan.holgersson,2024-02-15T21:57:53Z,"modern rock,pop,rock","Universal Music Group",0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,4
3AJwUDP919kvQ9QcozQPxg,"Yellow","Parachutes","Coldplay",2000-07-10,266773,90,jonathan.holgersson,2024-02-15T21:57:53Z,"permanent wave,pop","Parlophone UK",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
3U4isOIWM3VvDubwSI3y7a,"All of Me","Love In The Future (Expanded Edition)","John Legend",2013-08-30,269560,84,jonathan.holgersson,2024-02-15T21:57:53Z,"neo soul,pop,pop soul,urban contemporary","G.O.O.D. Music/Columbia",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4
1BxfuPKGuaTgP7aM0Bbdwr,"Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,91,jonathan.holgersson,2024-03-31T18:13:03Z,"pop","Taylor Swift",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
6g1NlCpW7fgqDnWbCCDrHl,"Wake Me Up - Radio Edit","True","Avicii",2013-01-01,247426,2,jonathan.holgersson,2024-02-15T21:57:53Z,"dance pop,edm,pop,pop dance","Universal Music Group",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
1PNLLzkKmfgnt7ABUhjpCG,"Die In My Arms","Die In My Arms","Lupae Filius",2024-05-03,123692,35,jonathan.holgersson,2024-09-19T15:56:53Z,"","ARK Studio / Lupae Filius AS",0.851,0.494,6,-9.374,1,0.311,0.471,0,0.334,0.864,129.8,4
